#!,Workbook:,Custom,Custom,,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,,
Interval,Blowback,Return,Cycle,,,,
0,0,0,0,,,,
22322,165,311,476,,,,
1,,,,,,,18g
11057,20,65,85,,,,48 initi
313,21,66,87,,,,21.6 min
319,21,65,86,,,,52 amb
317,21,64,85,,,,631 final
318,20,65,85,,,,
316,22,65,87,,,,
311,22,68,90,,,,
314,21,67,88,,,,
324,21,68,89,,,,
310,20,68,88,,,,
309,22,68,90,,,,
311,21,70,91,,,,
309,22,68,90,,,,
314,23,71,94,,,,
306,22,70,92,,,,
318, , ,91,,,,
300,21,69,90,,,,
321,22,68,90,,,,
308,22,66,88,,,,
311,22,68,90,,,,
303,23,66,89,,,,
315,21,70,91,,,,
310,23,68,91,,,,
315,22,69,91,,,,
307,22,71,93,,,,
310,22,67,89,,,,
311,21,67,88,,,,
309,23,66,89,,,,
310,24,67,91,,,,
316,23,67,90,,,,
305,24,67,91,,,,
310,23,70,93,,,,
303,23,67,90,,,,
312,25,68,93,,,,
306,23,71,94,,,,
307,23,67,90,,,,
301,25,69,94,,,,
310,24,70,94,,,,
306,25,67,92,,,,
310,25,70,95,,,,
308,24,69,93,,,,
304,25,69,94,,,,
306, , ,93,,,,
308,25,68,93,,,,
304,26,71,97,,,,
303,24,68,92,,,,
314,26,68,94,,,,
303,26,68,94,,,,
305,25,66,91,,,,
305,26,67,93,,,,
306,26,68,94,,,,
307,25,69,94,,,,
306,26,69,95,,,,
312,24,70,94,,,,
301,26,67,93,,,,
303,26,70,96,,,,
312, , ,94,,,,
303,27,67,94,,,,
307,27,70,97,,,,
304,26,68,94,,,,
297,27,69,96,,,,
307,26,70,96,,,,
302,26,70,96,,,,
302,28,69,97,,,,
303,28,68,96,,,,
304,28,68,96,,,,
302,28,70,98,,,,
305,27,68,95,,,,
302,29,68,97,,,,
303,29,67,96,,,,
305,28,69,97,,,,
299,29,68,97,,,,
307,29,70,99,,,,
301,31,67,98,,,,
302,31,68,99,,,,
300,30,68,98,,,,
299,32,67,99,,,,
303,31,69,100,,,,
300,33,66,99,,,,
301,33,66,99,,,,
300,32,69,101,,,,
299,33,67,100,,,,
303,33,67,100,,,,
297,34,69,103,,,,
293,35,67,102,,,,
301,36,69,105,,,,
291,35,67,102,,,,
296,37,68,105,,,,
295,38,68,106,,,,
293,39,68,107,,,,
291,38,67,105,,,,
295,42,72,114,,,,
287,39,69,108,,,,
290,41,71,112,,,,
287,48,78,126,,,,
274,42,71,113,,,,
289, , ,124,,,,
274, , ,123,,,,
275, , ,123,,,,
