#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
41981, 246, 279, 525
1
3379, 20, 77, 97
284, 18, 77, 95
313, 20, 76, 96
323, 20, 70, 90
307, 20, 71, 91
313, 21, 65, 86
315, 21, 64, 85
313, 20, 65, 85
318, 21, 67, 88
304, 22, 67, 89
320, 21, 67, 88
310, 22, 65, 87
317, 21, 69, 90
306, 23, 66, 89
320, 21, 66, 87
325, 23, 67, 90
312, 22, 67, 89
308, 23, 67, 90
318, 22, 68, 90
308, 22, 68, 90
305, 24, 68, 92
314, 23, 68, 91
303, 24, 69, 93
311, 24, 69, 93
330, 25, 70, 95
307, 24, 71, 95
303, 25, 70, 95
305, 26, 70, 96
286, 26, 69, 95
316, 27, 69, 96
307, 27, 70, 97
300, 26, 69, 95
309, 28, 67, 95
299, 28, 70, 98
304, 28, 69, 97
301, 28, 68, 96
306, 28, 70, 98
301, 30, 70, 100
304, 31, 70, 101
317, 31, 70, 101
298, 32, 70, 102
302, 33, 71, 104
289, 35, 72, 107
294, 36, 70, 106
292, 38, 71, 109
293, 41, 70, 111
311, 44, 69, 113
282, , , 127
275, , , 122
279, , , 118
Interval,Blowback,Return,Cycle
0, 0, 0, 0
