#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
254619, , , 669
1
12929, 17, 75, 92
315, 20, 74, 94
296, 20, 65, 85
330, 21, 66, 87
313, 20, 66, 86
317, 21, 64, 85
311, 22, 64, 86
311, 21, 66, 87
322, 22, 65, 87
332, 21, 66, 87
307, 22, 66, 88
321, 22, 65, 87
312, 22, 65, 87
304, 23, 67, 90
316, 21, 68, 89
315, 22, 67, 89
307, 22, 68, 90
314, 23, 65, 88
313, 22, 68, 90
331, 23, 68, 91
289, 24, 66, 90
331, 25, 67, 92
307, 23, 70, 93
308, 25, 69, 94
308, 25, 71, 96
307, 24, 73, 97
301, 25, 68, 93
329, 25, 69, 94
304, 25, 71, 96
296, 25, 70, 95
310, 27, 70, 97
305, 27, 70, 97
303, 26, 71, 97
302, 28, 69, 97
302, 27, 70, 97
321, 28, 70, 98
298, 28, 70, 98
308, 29, 69, 98
322, 29, 68, 97
301, 30, 71, 101
304, 29, 70, 99
300, 31, 71, 102
296, 32, 72, 104
297, 33, 71, 104
295, 34, 72, 106
293, 34, 73, 107
292, 36, 72, 108
283, 39, 72, 111
299, 40, 72, 112
284, 44, 71, 115
284, , , 126
274, , , 126
277, , , 122
