#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Interval,Blowback,Return,Cycle
0, 0, 0, 0
924, 238, 323, 561
1
0
1
12949, 17, 73, 90
317, 19, 75, 94
307, 20, 65, 85
320, 22, 62, 84
320, 21, 66, 87
315, 22, 65, 87
309, 21, 67, 88
322, 22, 65, 87
326, 22, 66, 88
311, 23, 64, 87
314, 22, 68, 90
316, 22, 65, 87
318, 23, 68, 91
328, 23, 64, 87
312, 22, 67, 89
311, 23, 66, 89
292, 23, 66, 89
329, 23, 70, 93
307, 24, 68, 92
310, 24, 67, 91
290, 25, 70, 95
305, 25, 68, 93
309, 25, 69, 94
318, 26, 69, 95
308, 26, 69, 95
298, 25, 71, 96
312, 27, 68, 95
306, 26, 70, 96
316, 27, 68, 95
293, 28, 69, 97
303, 27, 68, 95
305, 29, 69, 98
301, 29, 69, 98
301, 29, 69, 98
304, 31, 68, 99
302, 30, 69, 99
292, 31, 69, 100
311, 32, 69, 101
297, 32, 70, 102
318, 34, 70, 104
292, 36, 70, 106
295, 37, 72, 109
293, 39, 71, 110
288, 42, 71, 113
293, 47, 70, 117
273, , , 125
274, , , 123
278, , , 121
