#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
54686, , , 856
1
4059, 18, 63, 81
322, 17, 68, 85
314, 17, 65, 82
342, 17, 65, 82
298, 17, 66, 83
318, 19, 66, 85
313, 17, 65, 82
321, 18, 66, 84
318, 19, 65, 84
319, 18, 68, 86
314, 19, 65, 84
318, 18, 67, 85
315, 20, 68, 88
311, , , 86
318, 18, 67, 85
315, 19, 68, 87
313, 19, 69, 88
312, 19, 67, 86
314, 20, 66, 86
315, 19, 69, 88
313, 20, 68, 88
311, 19, 67, 86
313, 19, 68, 87
316, 20, 68, 88
314, 19, 67, 86
312, 20, 66, 86
314, 21, 70, 91
313, 20, 69, 89
312, , , 85
312, 19, 69, 88
308, 20, 67, 87
319, 20, 70, 90
315, 20, 68, 88
302, 21, 68, 89
318, 20, 7, 90
314, 21, 69, 90
304, 21, 69, 90
315, 20, 68, 88
311, 21, 69, 90
303, 22, 67, 89
317, 21, 70, 91
309, 22, 72, 94
308, 21, 69, 90
311, 22, 69, 91
308, 22, 74, 96
304, 22, 70, 92
308, 23, 69, 92
312, 21, 70, 91
303, 22, 73, 95
309, 23, 70, 93
307, 23, 70, 93
309, 23, 70, 93
306, 22, 71, 93
305, 23, 71, 94
300, 23, 71, 94
315, 23, 71, 94
305, 24, 70, 94
305, 24, 73, 97
306, 23, 71, 94
308, 25, 70, 95
304, 24, 72, 96
303, 23, 74, 97
300, 26, 71, 97
307, 24, 73, 97
325, 24, 72, 96
281, 26, 73, 99
322, 26, 72, 98
291, 26, 74, 100
311, 27, 72, 99
300, 27, 73, 100
322, 27, 74, 101
275, 28, 73, 101
305, 28, 72, 100
319, 29, 73, 102
299, 30, 71, 101
296, 30, 73, 103
299, 29, 73, 102
298, 31, 71, 102
298, 33, 71, 104
298, 33, 72, 105
291, 34, 75, 109
313, 34, 73, 107
293, 35, 73, 108
292, 35, 75, 110
296, 38, 73, 111
281, 38, 74, 112
296, 39, 73, 112
284, 41, 71, 112
287, , , 127
279, , , 127
268, , , 129
